result,GRE Score,CGPA,TOEFL Score,University Rating,Research,SOP,LOR 
1,337,9.65,118,4,1,4.5,4.5
1,324,8.87,107,4,1,4,4.5
0,316,8,104,3,1,3,3.5
1,322,8.67,110,3,1,3.5,2.5
0,314,8.21,103,2,0,2,3
1,330,9.34,115,5,1,4.5,3
1,321,8.2,109,3,1,3,4
0,308,7.9,101,2,0,3,4
0,302,8,102,1,0,2,1.5
0,323,8.6,108,3,0,3.5,3
0,325,8.4,106,3,1,3.5,4
1,327,9,111,4,1,4,4.5
1,328,9.1,112,4,1,4,4.5
0,307,8,109,3,1,4,3
0,311,8.2,104,3,1,3.5,2
0,314,8.3,105,3,0,3.5,2.5
0,317,8.7,107,3,0,4,3
0,319,8,106,3,1,4,3
0,318,8.8,110,3,0,4,3
0,303,8.5,102,3,0,3.5,3
0,312,7.9,107,3,1,3,2
0,325,8.4,114,4,0,3,2
1,328,9.5,116,5,1,5,5
1,334,9.7,119,5,1,5,4.5
1,336,9.8,119,5,1,4,3.5
1,340,9.6,120,5,1,4.5,4.5
1,322,8.8,109,5,0,4.5,3.5
0,298,7.5,98,2,1,1.5,2.5
0,295,7.2,93,1,0,2,2
0,310,7.3,99,2,0,1.5,2
0,300,8.1,97,2,1,3,3
0,327,8.3,103,3,1,4,4
1,338,9.4,118,4,1,3,4.5
1,340,9.6,114,5,1,4,4
1,331,9.8,112,5,1,4,5
1,320,9.2,110,5,1,5,5
0,299,8.4,106,2,0,4,4
0,300,7.8,105,1,0,1,2
0,304,7.5,105,1,0,3,1.5
0,307,7.7,108,2,0,4,3.5
0,308,8,110,3,1,3.5,3
0,316,8.2,105,2,1,2.5,2.5
0,313,8.5,107,2,1,2.5,2
1,332,9.1,117,4,0,4.5,4
1,326,9.4,113,5,1,4.5,4
1,322,9.1,110,5,1,5,4
1,329,9.3,114,5,1,4,5
1,339,9.7,119,5,0,4.5,4
1,321,8.85,110,3,1,3.5,5
1,327,8.4,111,4,1,3,4
1,313,8.3,98,3,1,2.5,4.5
0,312,7.9,100,2,1,1.5,3.5
1,334,8,116,4,1,4,3
0,324,8.1,112,4,1,4,2.5
0,322,8,110,3,0,3,3.5
0,320,7.7,103,3,0,3,3
0,316,7.4,102,3,0,2,3
0,298,7.6,99,2,0,4,2
0,300,6.8,99,1,1,3,2
0,311,8.3,104,2,0,2,2
0,309,8.1,100,2,0,3,3
0,307,8.2,101,3,0,4,3
0,304,8.2,105,2,1,3,3
0,315,8.5,107,2,1,4,3
0,325,8.7,111,3,0,3,3.5
0,325,8.92,112,4,0,3.5,3.5
0,327,9.02,114,3,0,3,3
0,316,8.64,107,2,1,3.5,3.5
0,318,9.22,109,3,1,3.5,4
1,328,9.16,115,4,1,4.5,4
1,332,9.64,118,5,1,5,5
1,336,9.76,112,5,1,5,5
1,321,9.45,111,5,1,5,5
1,314,9.04,108,4,1,4.5,4
0,314,8.9,106,3,0,3,5
0,329,8.56,114,2,1,2,4
0,327,8.72,112,3,1,3,3
0,301,8.22,99,2,0,3,2
0,296,7.54,95,2,1,3,2
0,294,7.36,93,1,0,1.5,2
0,312,8.02,105,3,1,2,3
1,340,9.5,120,4,1,5,5
1,320,9.22,110,5,1,5,4.5
1,322,9.36,115,5,1,4,4.5
1,340,9.45,115,5,1,4.5,4.5
1,319,8.66,103,4,0,4.5,3.5
0,315,8.42,106,3,0,4.5,3.5
0,317,8.28,107,2,0,3.5,3
0,314,8.14,108,3,0,4.5,3.5
0,316,8.76,109,4,1,4.5,3.5
0,318,7.92,106,2,1,4,4
0,299,7.66,97,3,0,5,3.5
0,298,8.03,98,2,0,4,3
0,301,7.88,97,2,1,3,3
0,303,7.66,99,3,0,2,2.5
0,304,7.84,100,4,0,1.5,2.5
0,306,8,100,2,0,3,3
1,331,8.96,120,3,1,4,4
1,332,9.24,119,4,1,5,4.5
1,323,8.88,113,3,1,4,4
0,322,8.46,107,3,1,3.5,3.5
0,312,8.12,105,2,0,2.5,3
0,314,8.25,106,2,0,4,3.5
0,317,8.47,104,2,0,4.5,4
0,326,9.05,112,3,1,3.5,3
0,316,8.78,110,3,1,4,4.5
1,329,9.18,111,4,1,4.5,4.5
1,338,9.46,117,4,1,3.5,4.5
1,331,9.38,116,5,1,5,5
0,304,8.64,103,5,0,5,4
0,305,8.48,108,5,0,3,3
0,321,8.68,109,4,1,4,4
0,301,8.34,107,3,1,3.5,3.5
0,320,8.56,110,2,0,4,3.5
0,311,8.45,105,3,1,3.5,3
0,310,9.04,106,4,1,4.5,4.5
0,299,8.62,102,3,0,4,3.5
0,290,7.46,104,4,0,2,2.5
0,296,7.28,99,2,0,3,3.5
0,327,8.84,104,5,1,3,3.5
1,335,9.56,117,5,1,5,5
1,334,9.48,119,5,1,4.5,4.5
0,310,8.36,106,4,0,1.5,2.5
0,308,8.22,108,3,0,3.5,3.5
0,301,8.47,106,4,0,2.5,3
0,300,8.66,100,3,1,2,3
1,323,9.32,113,3,1,4,3
1,319,8.71,112,3,1,2.5,2
1,326,9.1,112,3,1,3.5,3
1,333,9.35,118,5,1,5,5
1,339,9.76,114,5,1,4,4.5
1,303,8.65,105,5,0,5,4.5
0,309,8.56,105,5,0,3.5,3.5
1,323,8.78,112,5,0,4,4.5
1,333,9.28,113,5,1,4,4
1,314,8.77,109,4,1,3.5,4
1,312,8.45,103,3,0,5,4
0,316,8.16,100,2,1,1.5,3
1,326,9.08,116,2,1,4.5,3
1,318,9.12,109,1,0,3.5,3.5
1,329,9.15,110,2,1,4,3
1,332,9.36,118,2,1,4.5,3.5
1,331,9.44,115,5,1,4,3.5
1,340,9.92,120,4,1,4.5,4
1,325,8.96,112,2,1,3,3.5
1,320,8.64,113,2,1,2,2.5
1,315,8.48,105,3,0,2,2.5
1,326,9.11,114,3,1,3,3
1,339,9.8,116,4,1,4,3.5
1,311,8.26,106,2,1,3.5,3
1,334,9.43,114,4,1,4,4
1,332,9.28,116,5,1,5,5
1,321,9.06,112,5,1,5,5
1,324,8.75,105,3,0,3,4
1,326,8.89,108,3,0,3,3.5
1,312,8.69,109,3,0,3,3
0,315,8.34,105,3,0,2,2.5
0,309,8.26,104,2,0,2,2.5
0,306,8.14,106,2,0,2,2.5
0,297,7.9,100,1,0,1.5,2
0,315,7.86,103,1,0,1.5,2
0,298,7.46,99,1,0,1.5,3
0,318,8.5,109,3,0,3,3
0,317,8.56,105,3,0,3.5,3
1,329,9.01,111,4,1,4.5,4
1,322,8.97,110,5,0,4.5,4
0,302,8.33,102,3,0,3.5,5
0,313,8.27,102,3,0,2,3
0,293,7.8,97,2,1,2,4
0,311,7.98,99,2,0,2.5,3
0,312,8.04,101,2,1,2.5,3.5
1,334,9.07,117,5,1,4,4.5
1,322,9.13,110,4,1,4,5
1,323,9.23,113,4,1,4,4.5
1,321,8.97,111,4,1,4,4
1,320,8.87,111,4,1,4.5,3.5
1,329,9.16,119,4,1,4.5,4.5
1,319,9.04,110,3,0,3.5,3.5
0,309,8.12,108,3,0,2.5,3
0,307,8.27,102,3,0,3,3
0,300,8.16,104,3,0,3.5,3
0,305,8.42,107,2,0,2.5,2.5
0,299,7.88,100,2,0,3,3.5
1,314,8.8,110,3,0,4,4
0,316,8.32,106,2,0,2.5,4
1,327,9.11,113,4,1,4.5,4.5
1,317,8.68,107,3,1,3.5,3
1,335,9.44,118,5,1,4.5,3.5
1,331,9.36,115,5,1,4.5,3.5
1,324,9.08,112,5,1,5,5
1,324,9.16,111,5,1,4.5,4
1,323,8.98,110,5,1,4,5
1,322,8.94,114,5,1,4.5,4
1,336,9.53,118,5,1,4.5,5
1,316,8.76,109,3,0,3.5,3
1,307,8.52,107,2,1,3,3.5
0,306,8.26,105,2,0,3,2.5
0,310,8.33,106,2,0,3.5,2.5
0,311,8.43,104,3,0,4.5,4.5
0,313,8.69,107,3,0,4,4.5
0,317,8.54,103,3,1,2.5,3
0,315,8.46,110,2,1,3.5,3
1,340,9.91,120,5,1,4.5,4.5
1,334,9.87,120,5,1,4,5
0,298,8.54,105,3,0,3.5,4
0,295,7.65,99,2,0,2.5,3
0,315,7.89,99,2,0,3.5,3
0,310,8.02,102,3,1,3.5,4
0,305,8.16,106,2,0,3,3
0,301,8.12,104,3,1,3.5,4
1,325,9.06,108,4,1,4.5,4
1,328,9.14,110,4,1,5,4
1,338,9.66,120,4,1,5,5
1,333,9.78,119,5,1,5,4.5
1,331,9.42,117,4,1,4.5,5
1,330,9.36,116,5,1,5,4.5
1,322,9.26,112,4,1,4.5,4.5
1,321,9.13,109,4,1,4,4
1,324,8.97,110,4,1,3,3.5
0,312,8.42,104,3,0,3.5,3.5
1,313,8.75,103,3,0,4,4
1,316,8.56,110,3,0,3.5,4
1,324,8.79,113,4,0,4.5,4
0,308,8.45,109,2,0,3,4
0,305,8.23,105,2,0,3,2
0,296,8.03,99,2,0,2.5,2.5
0,306,8.45,110,2,0,3.5,4
0,312,8.53,110,2,0,3.5,3
0,318,8.67,112,3,0,4,3.5
1,324,9.01,111,4,1,3,3
0,313,8.65,104,3,0,4,4.5
0,319,8.33,106,3,1,3.5,2.5
0,312,8.27,107,2,0,2.5,3.5
0,304,8.07,100,2,0,2.5,3.5
1,330,9.31,113,5,1,5,4
1,326,9.23,111,5,1,4.5,4
1,325,9.17,112,4,1,4,4.5
1,329,9.19,114,5,1,4.5,5
0,310,8.37,104,3,0,2,3.5
0,299,7.89,100,1,0,1.5,2
0,296,7.68,101,1,0,2.5,3
0,317,8.15,103,2,0,2.5,2
0,324,8.76,115,3,1,3.5,3
1,325,9.04,114,3,1,3.5,3
0,314,8.56,107,2,0,2.5,4
1,328,9.02,110,4,1,4,2.5
0,316,8.73,105,3,0,3,3.5
0,311,8.48,104,2,0,2.5,3.5
1,324,8.87,110,3,1,3.5,4
1,321,8.83,111,3,1,3.5,4
0,320,8.57,104,3,1,3,2.5
0,316,9,99,2,0,2.5,3
0,318,8.54,100,2,1,2.5,3.5
1,335,9.68,115,4,1,4.5,4.5
1,321,9.12,114,4,0,4,5
1,307,8.37,110,4,0,4,4.5
